filename,person_id,life_line,heart_line,head_line,fate_line,tinh_duyen,cong_viec,suc_khoe,tai_chinh,tuong_lai,kiep_truoc,kiep_sau,fortune_class
001_IMG__ (1).JPG,001,1,1,2,1,0,1,0,0,2,1,2,0
001_IMG__ (2).JPG,001,1,1,2,1,0,1,0,0,2,1,2,0
001_IMG__ (3).JPG,001,1,1,2,1,0,1,0,0,2,1,2,0
002_IMG__ (1).JPG,002,2,0,0,0,1,0,2,1,0,0,0,1
002_IMG__ (2).JPG,002,2,0,0,0,1,0,2,1,0,0,0,1
002_IMG__ (3).JPG,002,2,0,0,0,1,0,2,1,0,0,0,1
003_IMG__ (1).JPG,003,0,2,1,2,2,2,1,2,1,2,1,2
003_IMG__ (2).JPG,003,0,2,1,2,2,2,1,2,1,2,1,2
003_IMG__ (3).jpg,003,0,2,1,2,2,2,1,2,1,2,1,2
004_IMG__ (1).JPG,004,1,1,2,1,0,1,0,0,2,1,2,0
004_IMG__ (2).JPG,004,1,1,2,1,0,1,0,0,2,1,2,0
004_IMG__ (3).JPG,004,1,1,2,1,0,1,0,0,2,1,2,0
005_IMG__ (1).JPG,005,2,0,0,0,1,0,2,1,0,0,0,1
005_IMG__ (2).JPG,005,2,0,0,0,1,0,2,1,0,0,0,1
005_IMG__ (3).JPG,005,2,0,0,0,1,0,2,1,0,0,0,1
007_IMG__ (1).JPG,007,1,1,2,1,0,1,0,0,2,1,2,2
007_IMG__ (2).JPG,007,1,1,2,1,0,1,0,0,2,1,2,2
007_IMG__ (3).JPG,007,1,1,2,1,0,1,0,0,2,1,2,2
008_IMG__ (1).jpg,008,2,0,0,0,1,0,2,1,0,0,0,0
008_IMG__ (2).jpg,008,2,0,0,0,1,0,2,1,0,0,0,0
008_IMG__ (3).jpg,008,2,0,0,0,1,0,2,1,0,0,0,0
009_IMG__ (1).JPG,009,0,2,1,2,2,2,1,2,1,2,1,1
009_IMG__ (2).jpg,009,0,2,1,2,2,2,1,2,1,2,1,1
009_IMG__ (3).jpg,009,0,2,1,2,2,2,1,2,1,2,1,1
011_IMG__ (1).JPG,011,2,0,0,0,1,0,2,1,0,0,0,2
011_IMG__ (2).JPG,011,2,0,0,0,1,0,2,1,0,0,0,2
011_IMG__ (3).JPG,011,2,0,0,0,1,0,2,1,0,0,0,2
012_IMG__ (1).JPG,012,0,2,1,2,2,2,1,2,1,2,1,0
012_IMG__ (2).JPG,012,0,2,1,2,2,2,1,2,1,2,1,0
012_IMG__ (3).JPG,012,0,2,1,2,2,2,1,2,1,2,1,0
013_IMG__ (1).jpg,013,1,1,2,1,0,1,0,0,2,1,2,1
013_IMG__ (2).jpg,013,1,1,2,1,0,1,0,0,2,1,2,1
013_IMG__ (3).jpg,013,1,1,2,1,0,1,0,0,2,1,2,1
014_IMG__ (1).JPG,014,2,0,0,0,1,0,2,1,0,0,0,2
014_IMG__ (2).JPG,014,2,0,0,0,1,0,2,1,0,0,0,2
014_IMG__ (3).JPG,014,2,0,0,0,1,0,2,1,0,0,0,2
015_IMG__ (1).JPG,015,0,2,1,2,2,2,1,2,1,2,1,0
